tool,nthreads,size,repetitions,usec
OpenMP,2,500000,3000,4582741
OpenMP,2,500000,3000,4469233
OpenMP,2,500000,3000,4522000
OpenMP,2,500000,3000,4424319
OpenMP,2,500000,3000,4484051
OpenMP,2,500000,3000,4456427
OpenMP,4,250000,3000,2883522
OpenMP,4,250000,3000,2534483
OpenMP,4,250000,3000,2592419
OpenMP,4,250000,3000,2498789
OpenMP,4,250000,3000,2538889
OpenMP,4,250000,3000,2528225
OpenMP,4,250000,3000,2503599
OpenMP,4,250000,3000,2510821
OpenMP,4,250000,3000,2509092
OpenMP,4,250000,3000,2495212
OpenMP,1,1000000,2000,5615863
OpenMP,1,1000000,2000,5576519
OpenMP,1,1000000,2000,5654445
OpenMP,1,1000000,2000,5539508
OpenMP,1,1000000,2000,5659966
OpenMP,1,1000000,2000,5566462
OpenMP,1,1000000,2000,5539017
OpenMP,1,1000000,2000,5507704
OpenMP,1,1000000,2000,5519425
OpenMP,1,1000000,2000,5605582
OpenMP,2,500000,2000,3008518
OpenMP,2,500000,2000,2974015
OpenMP,2,500000,2000,3020709
OpenMP,2,500000,2000,3009742
OpenMP,2,500000,2000,2976844
OpenMP,2,500000,2000,3021004
OpenMP,2,500000,2000,3006952
OpenMP,2,500000,2000,2980226
OpenMP,2,500000,2000,3009172
OpenMP,2,500000,2000,2988558
OpenMP,4,250000,2000,1723231
OpenMP,4,250000,2000,1684190
OpenMP,4,250000,2000,1686013
OpenMP,4,250000,2000,1676584
OpenMP,4,250000,2000,1733870
OpenMP,4,250000,2000,1683077
OpenMP,4,250000,2000,1675109
OpenMP,4,250000,2000,1677189
OpenMP,4,250000,2000,1686036
OpenMP,4,250000,2000,1712396
OpenMP,1,1000000,1000,2816274
OpenMP,1,1000000,1000,2779827
OpenMP,1,1000000,1000,2786021
OpenMP,1,1000000,1000,2816733
OpenMP,1,1000000,1000,2844352
OpenMP,1,1000000,1000,2722825
OpenMP,1,1000000,1000,2767825
OpenMP,1,1000000,1000,2827189
OpenMP,1,1000000,1000,2807422
OpenMP,1,1000000,1000,2784835
OpenMP,2,500000,1000,1506261
OpenMP,2,500000,1000,1498428
OpenMP,2,500000,1000,1490257
OpenMP,2,500000,1000,1494703
OpenMP,2,500000,1000,1506833
OpenMP,2,500000,1000,1522852
OpenMP,2,500000,1000,1492659
OpenMP,2,500000,1000,1505572
OpenMP,2,500000,1000,1470082
OpenMP,2,500000,1000,1501518
OpenMP,4,250000,1000,853672
OpenMP,4,250000,1000,846190
OpenMP,4,250000,1000,846617
OpenMP,4,250000,1000,843683
OpenMP,4,250000,1000,876259
OpenMP,4,250000,1000,839628
OpenMP,4,250000,1000,848092
OpenMP,4,250000,1000,844283
OpenMP,4,250000,1000,842134
OpenMP,4,250000,1000,871419
OpenMP,1,200000,3000,1709293
OpenMP,1,200000,3000,1696819
OpenMP,1,200000,3000,1669477
OpenMP,1,200000,3000,1686427
OpenMP,1,200000,3000,1695964
OpenMP,1,200000,3000,1690386
OpenMP,1,200000,3000,1717675
OpenMP,1,200000,3000,1692951
OpenMP,1,200000,3000,1722734
OpenMP,1,200000,3000,1694092
OpenMP,2,100000,3000,948256
OpenMP,2,100000,3000,1005260
OpenMP,2,100000,3000,971023
OpenMP,2,100000,3000,965880
OpenMP,2,100000,3000,952151
OpenMP,2,100000,3000,941123
OpenMP,2,100000,3000,946765
OpenMP,2,100000,3000,974189
OpenMP,2,100000,3000,928968
OpenMP,2,100000,3000,953602
OpenMP,4,50000,3000,592152
OpenMP,4,50000,3000,568507
OpenMP,4,50000,3000,563303
OpenMP,4,50000,3000,570454
OpenMP,4,50000,3000,593338
OpenMP,4,50000,3000,572065
OpenMP,4,50000,3000,570400
OpenMP,4,50000,3000,562311
OpenMP,4,50000,3000,570914
OpenMP,4,50000,3000,556905
OpenMP,1,200000,2000,1176077
OpenMP,1,200000,2000,1105964
OpenMP,1,200000,2000,1107010
OpenMP,1,200000,2000,1118706
OpenMP,1,200000,2000,1148393
OpenMP,1,200000,2000,1116564
OpenMP,1,200000,2000,1101680
OpenMP,1,200000,2000,1131771
OpenMP,1,200000,2000,1100456
OpenMP,1,200000,2000,1109880
OpenMP,2,100000,2000,640872
OpenMP,2,100000,2000,648402
OpenMP,2,100000,2000,624593
OpenMP,2,100000,2000,642189
OpenMP,2,100000,2000,644179
OpenMP,2,100000,2000,638983
OpenMP,2,100000,2000,664386
OpenMP,2,100000,2000,634615
OpenMP,2,100000,2000,651444
OpenMP,2,100000,2000,662549
OpenMP,4,50000,2000,400387
OpenMP,4,50000,2000,385136
OpenMP,4,50000,2000,390859
OpenMP,4,50000,2000,378089
OpenMP,4,50000,2000,385018
OpenMP,4,50000,2000,381515
OpenMP,4,50000,2000,390374
OpenMP,4,50000,2000,381732
OpenMP,4,50000,2000,395089
OpenMP,4,50000,2000,390388
OpenMP,1,200000,1000,578215
OpenMP,1,200000,1000,568915
OpenMP,1,200000,1000,569714
OpenMP,1,200000,1000,582599
OpenMP,1,200000,1000,569646
OpenMP,1,200000,1000,566755
OpenMP,1,200000,1000,570879
OpenMP,1,200000,1000,590903
OpenMP,1,200000,1000,579736
OpenMP,1,200000,1000,566504
OpenMP,2,100000,1000,338792
OpenMP,2,100000,1000,325423
OpenMP,2,100000,1000,317997
OpenMP,2,100000,1000,346494
